,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
53,R$ 1.150,"R$ 1.220,01/mês",Parque Ceasa,"Descrição do imóvel;
Casa de fundo, com varanda, totalmente independente;
Cozinha com azulejo, pia e gabinete; sala ampla e arejada;
1 dormitório amplo e arejado com vista para a varanda;
uma lavanderia ao fundo, com uma pequena cobertura; 
 Vaga de garagem, para 2 automóveis sendo uma coberta e a outra descoberta;
Os relógios de água e energia todos individuais;
Isento de IPTU.",Casa em Campinas,1quarto,1banheiro ,2vagas,65m²,not found
54,R$ 670.000,"R$ 2.765,10/mês",Vila Santa Isabel,"Casa com ótima localização sendo 3 dormitórios mais um cômodo reversível com lavabo,  podendo ser escritório.
Sala de estar e jantar. Cozinha ampla com pia e gabinete, armários embutidos; lavanderia coberta com armário e tanque ao fundo;
Garagem ampla e coberta;",Casa em Campinas,3quartos,2banheiros,2vagas,"130,68m²",not found
55,R$ 800,R$ 1.045/mês,Cidade Universitária,"Cidade Universitária 01 - Av, OScar Pedroso Horta

Kitnet mobiliada com geladeira, fogão 4 bocas, cama, mesa, guarda roupas. 
Condomínio: valor por mes, por morador - inclui: Internet, Água, Gás, IPTU, Limpeza e Manutenção das Áreas Comuns. 
Garagem Locada a parte
Energia elétrica Individual",Kitnet em Campinas,1quarto,1banheiro ,23m²,not found,not found
56,R$ 1.500,"R$ 1.841,41/mês",Vila Santa Isabel,"Barracão comercial com excelente custo-benefício

ZM1-B BG

Imóvel com cerca de 60m²
Possui 2 banheiros
Fechado com grades de ferro
Bem localizado


Agende uma visita!",Barracão em Campinas,62m²,not found,not found,not found,not found
57,R$ 1.700,"R$ 1.998,77/mês",Jardim São Gonçalo,"Casa térrea de fundo, contendo 3 dormitórios, sala, cozinha com pia de granito, banheiro social amplo e arejado,  área de serviço coberta; área de luz entre a sala e os dormitórios. Casa toda em piso de cerâmica; Vaga de garagem para 3 ou mais carros;  Quintal amplo na parte da frente, portão de grade.",Casa em Campinas,3quartos,1banheiro ,3vagas,130m²,not found
58,R$ 2.200,"R$ 2.412,10/mês",Cidade Universitária,"Cidade Universitária 01 - Reformada (troca piso) em novembro/2019;

Casa térrea com 3 dormitórios (1 suite - 2 com armários embutidos), 
Sala de estar (foi feita uma divisória padrão de escritório para ter opção de ser escritório, ou dormitório, ou sala reservada).
Cozinha com gabinete na pia; 
Banheiro social e banheiro suíte com box de vidro
Lavanderia externa
2 vagas de garagem
Energia elétrica e água: individuais, por conta locatários;
IPTU: 70% do total",Casa em Campinas,3quartos,1suíte,2banheiros,2vagas,75m²
59,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Cidade Universitária 01 - Rua Dr. Roxo Moreira, 1150
Kitnet 1º andar com divisória da cozinha para o dormitório, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão, gabinete cozinha. Banheiro com box de vidro, gabinete pia de cozinha.
Dormitório preparado para ar-condicionado.


Rateio: valor mês, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
60,R$ 1.100,R$ 1.170/mês,Cidade Universitária,"Casa de fundos para locação - Cidade Universitária I 

Casa de fundos com entrada dependente, mobiliada, térrea com 01 dormitório para locação; A pessoa da casa da frente já tem animal de estimação (cachorro). 

Cozinha mobiliada (geladeira, fogão, microondas, alguns utensílios de cozinha, armário) 
Banheiro 
Pequena sala de estar
Dormitório amplo, bem espaçoso, com armários embutido. 
Pequeno quintal para colocação de plantas - PET nao dá. 
Vaga de garagem:  a consultar disponibilidade. 
Despesas como: Água, Energia, Internet são divididas por pessoa.
Gás: Botijão individual",Casa em Campinas,1quarto,1banheiro ,36m²,not found,not found
61,R$ 1.450,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01

Kitnet térrea com divisória da cozinha para o dormitório, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão, gabinete cozinha. Banheiro com box de vidro, gabinete pia de cozinha.
Dormitório preparado para ar-condicionado.

Rateio: valor por mes, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
62,R$ 5.000,"R$ 5.653,91/mês",Cidade Universitária,"Cidade Universitária I  Barão Geraldo - Campinas SP

Localizada próximo a Unicamp, Reitoria, Medicina
Casa de 7 dormitórios, 2 com armários, 4 suítes e Edícula com banheiro.
Sala social, lavabo, cozinha com armários e gabinete; lavanderia coberta.
Quintal com piscina",Casa em Campinas,7quartos,5suítes,6banheiros,5vagas,"264,30m²"
63,R$ 2.900.000,"R$ 14.822,82/mês",Condomínio Residencial Colina,"Excelente Sobrado com projeto diferenciado, com vista para o lago;
Pavimento térreo possui: sala de estar, sala de jantar e sala de leitura, escritório, home theater, lavado, cozinha planejada com despensa, área de serviço com armários planejados, suíte para funcionário.
 Pavimento superior possui: uma suíte máster com sacada, closet e banheira de hidromassagem, duas suítes com armários embutidos, uma suíte de hóspede com closet e hidromassagem, todos os quartos contem com ar condicionado e os banheiros com aquecimento central a gás, duchas pressurizadas, blindex, possui roupeiro em toda extensão do corredor superior.
Paisagismo interno e externo, área gourmet, garagem para quatro carros cobertos.",Casa em Campinas,4quartos,4suítes,7banheiros,4vagas,"576,05m²"
64,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Cidade Universitária 01  Fácil acesso a Unicamp - 

Kitnet 1º Andar, com divisória da cozinha para dormitório, 
Mobiliado com geladeira, fogão, micro-ondas, armário de cozinha, guarda roupas embutido, ar condicionado, televisão, armários de cozinha;
Banheiro com box de vidro. 
Rateio: valor por mês por pessoa - inclui: internet, água, IPTU, gás, manutenções de áreas externas.
Vaga de garagem: locada a parte, conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
65,R$ 2.500,"R$ 2.748,24/mês",Cidade Universitária,"Cidade Universitária 01 - 
Sobrado para locação com 2 suítes (com box de vidro em ambas), espaço para armários, grades nas janelas, ventiladores de teto.
Na parte térrea do imóvel fica a parte social, composta pela sala, lavabo e a cozinha, com prateleiras. Lavandeira externa, coberta. 
Vaga para 2 autos na garagem, com portão eletrônico ( em processo de instalação) 
INclui no valor do aluguel a água. 
Energia elétrica individual. 
IPTU: 20% do total. 
Gás: sistema de botijão",Casa em Campinas,2quartos,2suítes,2banheiros,2vagas,90m²
66,R$ 1.670,R$ 1.775/mês,Jardim Independência,"Jardim Independência - Barão Geraldo - Campinas;

Opção de casa em terreno em aclive de 253m², contendo uma casa principal com 2 dormitórios, sala de estar, banheiro e cozinha. Lavanderia externa. 
Quintal gramado, 2 vagas para carros descobertas. 
Edícula totalmente reversível contendo dormitório e 2 cômodos amplos e avarandados que podem ser aproveitados para home office, ateliê, pilates, oficina, depósito, escritório, assistência técnica). 
Energia Elétrica, água, gás (botijão) e IPTU (apenas taxa de lixo): individuais, por conta locatários.",Casa em Campinas,2quartos,1banheiro ,3vagas,90m²,not found
67,R$ 1.350,R$ 1.450/mês,Cidade Universitária,"Cidade Universitária 01 - em frente a Unicamp - (Roxo Moreira, 1150) - 
Kitnet mobiliada térrea com divisória da cozinha para o dormitório;
Cozinha com gabinete, geladeira, fogão, micro-ondas;
Banheiro com box de vidro, gabinete pia de cozinha, espelho;
Dormitório com ar-condicionado, guarda roupas, cama (cabem 2); TV 14 polegadas (antena digital - sinal aberto);

Rateio: por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,23m²,not found,not found
68,R$ 5.800,"R$ 6.531,68/mês",Jardim Santa Genebra II (Barão Geraldo),"Jardim Santa Genebra 2 - Barão Geraldo - Campinas SP

Imóvel com excelente localização, próximo as principais avenidas de barão, com Zoneamento Comercial ZM1 - A BG",Casa em Campinas,4quartos,1suíte,4banheiros,8vagas,"270,48m²"
69,R$ 7.000,"R$ 7.760,85/mês",Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas SP

Imóvel localizado a 50 metros da Unicamp, próximo a Reitoria, Medicina.
Casa conta com 3 suítes, com armários, banheiros com box de vidro; 2 quartos reversíveis, sendo 1 na edícula.
Sala de estar, sala de jantar; copa; lavabo; jardim de inverno.
Cozinha com gabinete e armários de parede; lavanderia coberta;
Quintal com piscina, churrasqueira; forno de pizza.
Portão eletrônico",Casa em Campinas,5quartos,3suítes,5banheiros,4vagas,266m²
70,R$ 7.000,R$ 8.803/mês,Condomínio Residencial Barão do Café,"Charmoso sobrado, localizado no miolo do condomínio , contendo 4 suítes, sendo 1 master, salas de estar e jantar integradas com varanda gourmet .
Ampla cozinha planejada, copa e despensa , área de lazer completa e sistema de aquecimento solar.",Casa em Campinas,4quartos,4suítes,7banheiros,4vagas,407m²
71,R$ 1.300,R$ 1.370/mês,Cidade Universitária,"Cidade Universitária 02

Kitnet mobiliada para locação térrea, com divisória entre cozinha e dormitório, reformada em 2021.
Cozinha com armários, cooktop, geladeira; Dormitório com armário e bancada de estudos. 
Banheiro com box de vidro. 
Vaga de garagem descoberta. 
Energia elétrica individual. 
Inclui no valor da locação: IPTU, água, gás, internet, manutenção das áreas comuns.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,22m²,not found
72,R$ 1.900,R$ 1.990/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: cobrado a parte.
Energia elétrica: individual",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
73,R$ 2.500,R$ 2.500/mês,Cidade Universitária,"Cidade Universitária 01 

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

2 suítes amplas com ar-condicionado com varandas individuais (pequenos quintais)
Banheiro com box de vidro e espelho;
Dormitórios com armários, bancadas de estudos, cama solteiro sem colchão;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar;
Lavanderia de uso comunitário com maquina.

No aluguel inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível;",Kitnet em Campinas,2quartos,2suítes,2banheiros,1vaga,49m²
74,R$ 1.800,R$ 1.890/mês,Cidade Universitária,"Cidade Universitária 01 - +-400 metros Unicamp

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória entre cozinha e dormitório;

1 suíte com ar-condicionado;
Banheiro com box de vidro e espelho;
Dormitório com armário, bancada de estudos, cama solteiro sem colchão e varanda térrea (pequeno quintal individual)
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar; e varanda térrea individual (pequeno quintal)
Lavanderia de uso comunitário com maquina.

Aluguel inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível, R$ 160,00 a vaga;",Kitnet em Campinas,1quarto,1suíte,1banheiro ,21m²,not found
75,R$ 1.500,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária 01 

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

1 suíte com ar-condicionado;
Unidade térrea com quintal individual
Banheiro com box de vidro e espelho;
Dormitório com armário, bancada de estudos, cama solteiro sem colchão;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar;
Lavanderia de uso comunitário com maquina.

Aluguel- inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível;",Kitnet em Campinas,1quarto,1suíte,1banheiro ,17m²,not found
76,R$ 1.700,R$ 1.790/mês,Cidade Universitária,"Cidade Universitária 01  

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

1 suíte com ar-condicionado, armário, bancada de estudos, cama solteiro sem colchão;
Térrea, com varanda individual (quintal)
Banheiro com box de vidro e espelho;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar;
Lavanderia de uso comunitário com maquina.

Aluguel - inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível.",Kitnet em Campinas,1quarto,1banheiro ,"23,70m²",not found,not found
77,R$ 1.500,R$ 1.570/mês,Cidade Universitária,"Cidade Universitária 01  

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

1 suíte com ar-condicionado, armário, bancada de estudos, cama solteiro sem colchão;
Banheiro com box de vidro e espelho;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão cooktop, depurador de ar;
Lavanderia de uso comunitário com maquina.

Inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível, R$ 160,00 a vaga;",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"15,20m²",not found
78,R$ 1.600,R$ 1.690/mês,Jardim Santa Genebra II (Barão Geraldo),"Santa Genebra 02
Kitnet mobiliada de alto padrão, próximo ao terminal de ônibus de Barão Geraldo.

Dormitório com armário, bancada de estudos, cama solteiro, ar-condicionado, armários. 
Cozinha com geladeira, fogão, exaustor, armários.

Inclui: Internet (cortesia), IPTU, Gás, Água, Faxina e Manutenção de áreas comuns, Vigilância patrimonial.

Vagas de garagem locadas a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,19m²,not found
79,R$ 2.200,R$ 2.335/mês,Jardim Santa Genebra II (Barão Geraldo),"Apartamento mobiliado próximo Terminal de ônibus de Barão Geraldo. 2 dormitórios suites com armários, camas solteiro, ar-condicionado.
Mobiliada com geladeira, fogão, exaustor, armários de cozinha; mesa estudos, 
Armário e box de vidro no banheiro.

Valor inclui: internet (cortesia), água, IPTU, gás, manutenções de áreas comuns, vigilância patrimonial;
Energia elétrica: individual para cada unidade.
Vaga de garagem: cobrado a parte, conforme disponibilidade.",Kitnet em Campinas,2quartos,2suítes,2banheiros,"43,50m²",not found
