,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
33,R$ 900,R$ 1.145/mês,Cidade Universitária,"Descrição
Cid. Universitária 01 - Entre Unicamp e Comércios

Kitnet com divisória entre cozinha e dormitório;
Mobilia: geladeira, fogão 4 boca com forno, armários de cozinha; mesa com cadeiras tampo mármore, cama solteiro (sem colchão), guarda roupas embutido; banheiro com box de vidro;
Rateio por pessoa inclui agua, gás encanado ,IPTU, faxina de áreas comuns, internet;
Energia elétrica individual.",Kitnet em Campinas,1quarto,1banheiro ,23m²,not found,not found
34,R$ 2.150,R$ 2.865/mês,Jardim do Sol,"Condomínio Ibirapuera - Jardim do Sol - 5 minutos centro de Barão Geraldo

Sobrado geminado com 3 dormitórios (1 suite)
Sala de estar 2 ambientes;
Cozinha com copa;
lavanderia coberta;
2 vaga de garagem;
Lavabo;

Energia elétrica individual.
Agua: individual",Casa em Campinas,3quartos,1suíte,2banheiros,2vagas,103m²
35,R$ 700,R$ 1.015/mês,Cidade Universitária,"Kitnet na Shigeo Mori - Perto Posto Ipiranga na Av. 1

Kitnet mobiliada sem divisória
Possui Guarda Roupa, Cama sem colchão, mesa pra refeição, geladeira, fogão e armários na cozinha

Condomínio inclui para 01 morador: Água, Gás Encanado ,IPTU, Internet (cortesia), Limpeza e manutenção das Áreas Comuns.
Energia Elétrica valor fixo R$80,00 
Moradores adicionais, consultar valores",Kitnet em Campinas,1quarto,1banheiro ,15m²,not found,not found
36,R$ 750,R$ 985/mês,Cidade Universitária,"Descrição
Kitnet na Av. 2 - Próximo ao Restaurante Universitário/Bandejão

Kitnet mobiliada sem divisória entre cozinha e dormitório
Dormitório com Guarda Roupa, cama sem colchão, mesa pra refeição, geladeira, fogão e armários na cozinha

Valor do Condomínio para 01 morador, inclui: Água, Gás Encanado, IPTU, Internet (cortesia), Limpeza e manutenção das Áreas Comuns.
Energia Individual
Consultar valores para moradores adicionais e garagem.",Kitnet em Campinas,1quarto,1banheiro ,20m²,not found,not found
37,R$ 850,R$ 1.095/mês,Cidade Universitária,"Cidade Universitária - Barão Geraldo

Kitnet para locação ao lado da Reitoria, a 100 metros da portaria da Unicamp.
Kitnet mobiliada com fogão, geladeira, armário e cama.
Gabinete com armário, banheiro com box.
Inclui: água, internet, gás e iptu
Energia individual",Kitnet em Campinas,1quarto,1banheiro ,20m²,not found,not found
38,R$ 750,R$ 985/mês,Cidade Universitária,"Kitnet próximo da Reitoria e HC da Unicamp

Kitnet mobiliada sem divisória
Possui Guarda Roupa, Cama sem colchão, mesa pra refeição, geladeira, fogão e armários na cozinha

Condomínio por morador - inclui: Internet, Água, Gás, IPTU, Limpeza e Manutenção das Áreas Comuns. 
Garagem Locada a parte
Energia elétrica Individual",Kitnet em Campinas,11quartos,1banheiro ,15m²,not found,not found
39,R$ 1.100,"R$ 1.607,99/mês",Barão Geraldo,"Avenida Santa Izabel - Centro Barão Geraldo
Galeria Pattaro - 
Sala comercial com 58,56m² - com mezanino.
Energia elétrica individual.",Sala em Campinas,1banheiro ,"58,56m²",not found,not found,not found
40,R$ 3.000,"R$ 3.626,76/mês",Cidade Universitária,"Sobrado locação - Cid. Universitária 01 - Perto Unicamp

Sobrado com 04 dorms (sendo 01 suíte com closet e 01 dorm com armário) - 03 dorms com varanda
Sala de estar ampla com lareira e mezanino
Sala de jantar espaçosa 
Cozinha com despensa e armários 
Lavanderia Externa coberta 
Quintal gramado
Vagas de Garagem: até 04 carros.",Casa em Campinas,4quartos,1suíte,3banheiros,4vagas,"409,10m²"
41,R$ 4.000,"R$ 4.621,51/mês",Cidade Universitária,"Casa com 4 Suítes para Locação - Perto Mc Donalds - Barão Geraldo

Localizada na Cid. universitária I - Perto Av. Atílio Martini (Av.2)
Casa térrea com 4 suítes com armários embutidos,
Banheiros com box de vidro e espelho
Sala 02 ambientes (sala de estar e jantar)
Cozinha ampla com armários
Lavanderia externa coberta.
Quintal gramado com churrasqueira
Vaga para 3 autos cobertas, 5 no total
Portão Eletrônico e cerca elétrica 

Próximo ao Supermercado Pão de Açúcar, Mc Donalds 
IPTU 2020: 11 parcelas de R$ 350,00

Internet, Energia, Gás e Água = por conta dos locatários.",Casa em Campinas,4quartos,4suítes,4banheiros,5vagas,250m²
42,R$ 850,R$ 895/mês,Village Campinas,"Casa de 1 dormitório com 45m²

Bairro tranquilo com comércio próximo.
À 10,2 km da Unicamp. Acesso facilitado, sem trânsito.

Sem mobília!
Dormitório
Sala ampla
Cozinha americana com balcão, gabinete e armário
Banheiro social com box de acrílico, armarinho e espelho
Área de serviço com tanque de pedra e armário

Quintal gramado com pés de frutas

Incluso: IPTU, vaga de garagem para 1 carro, manutenção e limpeza da área comum.

Energia individual. Água dividido por pessoa.

Agende uma visita!",Casa em Campinas,1quarto,1banheiro ,1vaga,45m²,not found
